trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,harmony_score,dominant_planet,fire_decision,ether_decision,portfolio_value_before,portfolio_value_after
2536,2023-08-18 00:00:00+00:00,BTC,BUY,0.00043439999999999993,26049.556640625,11.315927404687498,,,,,0.724,|,APPROVE,EXECUTE,102412.88900776884,102412.86428774061
2537,2023-08-18 00:00:00+00:00,UNI,BUY,0.0034020000000000005,0.00013000000035390258,4.4226000120397665e-07,,,,,0.675,|,APPROVE,EXECUTE,102412.88900776884,102412.86428774061
2538,2023-08-18 04:00:00+00:00,IWM,BUY,7.654,178.9743194580078,1369.8694411315919,,,,,0.7654,|,APPROVE,EXECUTE,102098.08695860083,102412.86428774061
2539,2023-08-18 04:00:00+00:00,PYPL,BUY,0.0076,59.28295135498047,0.4505504302978516,,,,,0.76,|,APPROVE,EXECUTE,102098.08695860083,102412.86428774061
2540,2023-08-20 00:00:00+00:00,XLM,SELL,0.0034020000000000005,0.12983499467372894,0.00044169865188002595,5.583701156079772e-05,14.470733995377994,True,False,0.67,|,APPROVE,EXECUTE,102413.18037704582,102412.86434357762
2541,2023-08-22 00:00:00+00:00,ATOM,SELL,0.0076,7.389942169189453,0.05616356048583984,-0.0030575696945190425,-5.1629708605816305,False,True,0.73,|,APPROVE,EXECUTE,102412.77401598202,102412.86128600792
2542,2023-08-22 00:00:00+00:00,LINK,BUY,0.76,6.108273029327393,4.642287502288818,,,,,0.76,|,APPROVE,EXECUTE,102412.77401598202,102412.86128600792
2543,2023-08-22 00:00:00+00:00,AAVE,BUY,0.0078000000000000005,54.87173843383789,0.42799955978393556,,,,,0.78,|,APPROVE,EXECUTE,102412.77401598202,102412.86128600792
2544,2023-08-23 04:00:00+00:00,ROKU,BUY,0.007236,80.2699966430664,0.5808336957092285,,,,,0.7236,|,APPROVE,EXECUTE,102602.50146223285,102412.86128600792
2545,2023-08-24 00:00:00+00:00,FIL,SELL,0.005292,3.2969799041748047,0.017447617652893065,-0.0010737212104797375,-5.797211629247244,False,True,0.735,|,APPROVE,EXECUTE,102412.9343869139,102412.8602122867
2546,2023-08-24 04:00:00+00:00,ROKU,SELL,0.007236,76.1500015258789,0.5510214110412598,-0.029812284667968703,-5.132671346066852,False,True,0.73,|,APPROVE,EXECUTE,102213.7477435924,102412.83040000203
2547,2023-08-25 00:00:00+00:00,FIL,BUY,0.005292,3.235245943069458,0.01712092153072357,,,,,0.735,|,APPROVE,EXECUTE,102412.82237212297,102412.83040000203
2548,2023-08-25 00:00:00+00:00,AVAX,SELL,0.005292,10.053031921386719,0.05320064492797851,-0.0028446034240722645,-5.075547896948835,False,True,0.735,|,APPROVE,EXECUTE,102412.82237212297,102412.8275553986
2549,2023-08-25 00:00:00+00:00,UNI,SELL,0.0034020000000000005,0.000155999994603917,5.307119816425257e-07,8.84519804385491e-08,19.999995522487637,True,False,0.675,|,APPROVE,EXECUTE,102412.82237212297,102412.82755548705
2550,2023-08-25 04:00:00+00:00,AAPL,SELL,7.414000000000001,176.541015625,1308.8750898437502,33.78259420776385,2.649423028006598,True,False,0.7336,|,APPROVE,EXECUTE,102461.26869939522,102446.61014969481
2551,2023-08-26 00:00:00+00:00,DOGE,BUY,0.007552,0.06286799907684326,0.0004747791290283203,,,,,0.7552,|,APPROVE,EXECUTE,102446.55107385386,102446.61014969481
2552,2023-08-26 00:00:00+00:00,AVAX,BUY,0.00441,10.09171199798584,0.04450444991111755,,,,,0.735,|,APPROVE,EXECUTE,102446.55107385386,102446.61014969481
2553,2023-08-27 00:00:00+00:00,ALGO,BUY,0.0039528,0.09517700225114822,0.0003762156544983387,,,,,0.6588,|,APPROVE,EXECUTE,102446.66244961835,102446.61014969481
2554,2023-08-28 04:00:00+00:00,ZM,SELL,0.007158,67.56999969482422,0.4836660578155518,0.015819173446655288,3.381271517495433,True,False,0.7036,|,APPROVE,EXECUTE,102579.59416822281,102446.62596886826
2555,2023-08-29 00:00:00+00:00,ETC,SELL,0.005292,16.88135528564453,0.08933613217163086,0.010096949226379395,12.74236918035318,True,False,0.73,|,APPROVE,EXECUTE,102448.0001020301,102446.63606581748
2556,2023-08-29 04:00:00+00:00,ROKU,BUY,0.007176,80.25,0.575874,,,,,0.7176,|,APPROVE,EXECUTE,102906.29450311125,102446.63606581748
2557,2023-08-29 04:00:00+00:00,TSLA,SELL,4.68,257.17999267578125,1203.6023657226563,177.65276000976564,17.315934332497935,True,False,0.73,|,APPROVE,EXECUTE,102906.29450311125,102624.28882582726
2558,2023-08-29 04:00:00+00:00,PYPL,SELL,0.0076,62.35585021972656,0.4739044616699219,0.023354031372070316,5.183444471827792,True,False,0.745,|,APPROVE,EXECUTE,102906.29450311125,102624.31217985864
2559,2023-08-30 04:00:00+00:00,TTE,BUY,6.9479999999999995,55.8897819519043,388.32220500183104,,,,,0.6948,|,APPROVE,EXECUTE,103008.4781824146,102624.31217985864
2560,2023-08-30 04:00:00+00:00,INTC,BUY,0.00745,33.96198272705078,0.25301677131652833,,,,,0.745,|,APPROVE,EXECUTE,103008.4781824146,102624.31217985864
2561,2023-08-31 00:00:00+00:00,XRP,SELL,3.402,0.510798990726471,1.7377381664514542,0.012441057443618675,0.7210965217911447,True,False,0.6988,|,APPROVE,EXECUTE,102623.95626626401,102624.32462091609
2562,2023-08-31 00:00:00+00:00,DOGE,SELL,0.007552,0.06378500163555145,0.00048170433235168454,6.925203323364241e-06,1.4586157857312123,True,False,0.7322,|,APPROVE,EXECUTE,102623.95626626401,102624.3246278413
2563,2023-09-01 00:00:00+00:00,DOT,SELL,0.429,4.215832233428955,1.8085920281410217,-0.09529451179504389,-5.005262120201973,False,True,0.7318,|,APPROVE,EXECUTE,102623.83338756175,102624.22933332951
2564,2023-09-01 00:00:00+00:00,MATIC,SELL,0.005292,0.5405499935150146,0.0028605905656814575,-0.0001774353811740876,-5.840482743662507,False,True,0.6776,|,APPROVE,EXECUTE,102623.83338756175,102624.22915589414
2565,2023-09-02 00:00:00+00:00,LTC,SELL,0.005292,64.56063079833984,0.34165485818481445,-0.0027789944458007643,-0.8068296494598834,False,True,0.7096,|,APPROVE,EXECUTE,102623.93781739127,102624.22637689969
2566,2023-09-05 00:00:00+00:00,LINK,SELL,0.76,6.135129928588867,4.662698745727539,0.020411243438720916,0.43968072698335514,True,False,0.7316,|,APPROVE,EXECUTE,102624.01530560944,102624.24678814314
2567,2023-09-05 00:00:00+00:00,AAVE,SELL,0.0078000000000000005,55.447418212890625,0.4324898620605469,0.0044903022766113465,1.049137125019044,True,False,0.745,|,APPROVE,EXECUTE,102624.01530560944,102624.2512784454
2568,2023-09-05 04:00:00+00:00,EEM,SELL,0.007092000000000001,36.79167175292969,0.2609265360717774,-0.0029868784332275355,-1.1317645368007208,False,True,0.705,|,APPROVE,EXECUTE,103124.91078365112,102624.24829156697
2569,2023-09-06 04:00:00+00:00,EFA,SELL,0.007716,65.38536834716797,0.5045135021667481,0.00627790365600589,1.2600271186504823,True,False,0.6958,|,APPROVE,EXECUTE,103092.18431426157,102624.25456947062
2570,2023-09-06 04:00:00+00:00,GLD,SELL,7.363999999999999,177.8300018310547,1309.5401334838866,18.63091101074224,1.4432394382502622,True,False,0.6974,|,APPROVE,EXECUTE,103092.18431426157,102642.88548048136
2571,2023-09-06 04:00:00+00:00,IWM,SELL,7.654,180.40882873535156,1380.8491751403808,10.97973400878891,0.8015168219037728,True,False,0.6916,|,APPROVE,EXECUTE,103092.18431426157,102653.86521449014
2572,2023-09-06 04:00:00+00:00,USO,SELL,0.00752,78.5199966430664,0.5904703747558594,0.0491807495117188,9.085847431407274,True,False,0.775,|,APPROVE,EXECUTE,103092.18431426157,102653.91439523966
2573,2023-09-06 22:00:00+00:00,AIR,SELL,7.168,131.13739013671875,939.9928125,61.87606249999999,7.0464505431652436,True,False,0.7382,|,APPROVE,EXECUTE,102706.60267783243,102715.79045773965
2574,2023-09-06 22:00:00+00:00,ROG,SELL,7.603999999999999,238.53768920898438,1813.840588745117,-9.187779907226513,-0.503984472497183,False,True,0.725,|,APPROVE,EXECUTE,102706.60267783243,102706.60267783243
2575,2023-09-07 00:00:00+00:00,BTC,SELL,0.00043439999999999993,26240.1953125,11.398740843749998,0.08281343906249994,0.7318307735713768,True,False,0.7038,|,APPROVE,EXECUTE,102706.62783908493,102706.68549127149
2576,2023-09-07 04:00:00+00:00,VTI,SELL,7.186,213.91136169433594,1537.167045135498,-23.838274291992093,-1.527110381708049,False,True,0.7096,|,APPROVE,EXECUTE,103143.4847706587,102682.8472169795
2577,2023-09-07 04:00:00+00:00,INTC,SELL,0.00745,37.55194091796875,0.2797619598388672,0.02674518852233887,10.570520042278217,True,False,0.76,|,APPROVE,EXECUTE,103143.4847706587,102682.87396216803
2578,2023-09-07 04:00:00+00:00,SPY,SELL,7.196,430.8453674316406,3100.3632640380856,-40.841165039062616,-1.3001753295967848,False,True,0.7112,|,APPROVE,EXECUTE,103143.4847706587,102642.03279712897
2579,2023-09-10 00:00:00+00:00,AVAX,SELL,0.00441,9.474143028259277,0.04178097075462341,-0.002723479156494138,-6.119565935391535,False,True,0.7368,|,APPROVE,EXECUTE,102641.83866650172,102642.03007364982
2580,2023-09-11 00:00:00+00:00,ETH,SELL,0.0043236,1551.6376953125,6.7086607394531255,-0.4726013581054689,-6.581034805374094,False,True,0.693,|,APPROVE,EXECUTE,102641.55633363547,102641.55747229172
2581,2023-09-11 00:00:00+00:00,FIL,SELL,0.005292,3.0250370502471924,0.016008496069908142,-0.0011124254608154277,-6.497462527464863,False,True,0.75,|,APPROVE,EXECUTE,102641.55633363547,102641.55635986626
2582,2023-09-11 00:00:00+00:00,ADA,BUY,7.622,0.24187299609184265,1.8435559762120246,,,,,0.7622,|,APPROVE,EXECUTE,102641.55633363547,102641.55635986626
